Number of projects, Number of files
jbehave-core, FailureCorrelationStories.java 
jbehave-core, CalendarConverter.java 
jbehave-core, TraderConverter.java 
jbehave-core, Stock.java 
jbehave-core, Trader.java 
jbehave-core, TraderPersister.java 
jbehave-core, TradingService.java 
jbehave-core, AbstractSteps.java 
jbehave-core, BeforeAfterSteps.java 
jbehave-core, CalendarSteps.java 
jbehave-core, CompositeNestedSteps.java 
jbehave-core, CompositeSteps.java 
jbehave-core, FailingBeforeAfterSteps.java 
jbehave-core, MetaParametrisationSteps.java 
jbehave-core, NamedParametersSteps.java 
jbehave-core, ParameterDelimitersSteps.java 
jbehave-core, ParametrisationByDelimitedNameSteps.java 
jbehave-core, ParametrisedSteps.java 
jbehave-core, PendingSteps.java 
jbehave-core, PriorityMatchingSteps.java 
jbehave-core, SandpitSteps.java 
jbehave-core, SearchSteps.java 
jbehave-core, TraderSteps.java 
jbehave-core, FailingAfterStories.java 
jbehave-core, FailingBeforeStories.java 
jbehave-core, ParameterDelimiters.java 
jbehave-core, ParametrisationByDelimitedName.java 
jbehave-core, SkipBeforeAndAfterScenarioStepsIfGivenStory.java 
jbehave-core, SkipScenariosAfterFailure.java 
jbehave-core, AnnotatedEmbedderUsingGuice.java 
jbehave-core, AnnotatedEmbedderUsingGuiceAndSteps.java 
jbehave-core, InheritingAnnotatedEmbedderUsingSteps.java 
jbehave-core, AnnotatedEmbedderUsingPico.java 
jbehave-core, AnnotatedEmbedderUsingPicoAndSteps.java 
jbehave-core, InheritingAnnotatedEmbedderUsingSteps.java 
jbehave-core, ParentAnnotatedEmbedderUsingPico.java 
jbehave-core, AnnotatedEmbedderUsingSpring.java 
jbehave-core, AnnotatedEmbedderUsingSpringAndSteps.java 
jbehave-core, AnnotatedEmbedderUsingSpringNamespace.java 
jbehave-core, InheritingAnnotatedEmbedderUsingSteps.java 
jbehave-core, InheritingAnnotatedEmbedderUsingSteps.java 
jbehave-core, AnnotationBuilder.java 
jbehave-core, Embedder.java 
jbehave-core, EmbedderMonitorDecorator.java 
jbehave-core, ExecutorServiceFactory.java 
jbehave-core, FixedThreadExecutors.java 
jbehave-core, SameThreadExecutors.java 
jbehave-core, FilePrintStreamFactory.java 
jbehave-core, PrintStreamFactory.java 
jbehave-core, SilentSuccessFilter.java 
jbehave-core, StackTraceFormatter.java 
jbehave-core, StepdocReporter.java 
jbehave-core, StoryReporterBuilder.java 
jbehave-core, AbstractStepsFactory.java 
jbehave-core, CompositeStepsFactory.java 
jbehave-core, InjectableStepsFactory.java 
jbehave-core, InstanceStepsFactory.java 
jbehave-core, ParameterConverters.java 
jbehave-core, PatternVariantBuilder.java 
jbehave-core, ProvidedStepsFactory.java 
jbehave-core, StepFailureDecoratorBehaviour.java 
jbehave-core, GroovyAnnotationBuilder.java 
jbehave-core, GroovyStepsFactory.java 
jbehave-core, GroovyAnnotationBuilderBehaviour.java 
jbehave-core, GuiceAnnotationBuilder.java 
jbehave-core, GuiceStepsFactory.java 
jbehave-core, PicoAnnotationBuilder.java 
jbehave-core, PicoStepsFactory.java 
jbehave-core, PicoAnnotationBuilderBehaviour.java 
jbehave-core, ScalaStepsFactory.java 
jbehave-core, SpringAnnotationBuilder.java 
jbehave-core, SpringStoryReporterBuilder.java 
jbehave-core, SpringApplicationContextFactory.java 
jbehave-core, SpringStepsFactory.java 
jbehave-core, SpringStoryReporterBuilderBehaviour.java 
jbehave-core, WeldAnnotationBuilder.java 
jbehave-core, WeldStepsFactory.java 
jbehave-core, AnnotationBuilder.java 
jbehave-core, GroovyAnnotationBuilder.java 
jbehave-core, GroovyAnnotationBuilderBehaviour.java 
jbehave-core, GuiceAnnotationBuilder.java 
jbehave-core, PicoAnnotationBuilder.java 
jbehave-core, PicoAnnotationBuilderBehaviour.java 
jbehave-core, SpringAnnotationBuilder.java 
jbehave-core, SpringStoryReporterBuilder.java 
jbehave-core, SpringStoryReporterBuilderBehaviour.java 
jbehave-core, WeldAnnotationBuilder.java 
jbehave-core, Embedder.java 
jbehave-core, EmbedderMonitorDecorator.java 
jbehave-core, ExecutorServiceFactory.java 
jbehave-core, FixedThreadExecutors.java 
jbehave-core, SameThreadExecutors.java 
jbehave-core, FilePrintStreamFactory.java 
jbehave-core, PrintStreamFactory.java 
jbehave-core, SilentSuccessFilter.java 
jbehave-core, StackTraceFormatter.java 
jbehave-core, StepdocReporter.java 
jbehave-core, StepFailureDecoratorBehaviour.java 
jbehave-core, StoryReporterBuilder.java 
jbehave-core, AbstractStepsFactory.java 
jbehave-core, CompositeStepsFactory.java 
jbehave-core, InjectableStepsFactory.java 
jbehave-core, InstanceStepsFactory.java 
jbehave-core, ParameterConverters.java 
jbehave-core, PatternVariantBuilder.java 
jbehave-core, ProvidedStepsFactory.java 
jbehave-core, GroovyStepsFactory.java 
jbehave-core, GuiceStepsFactory.java 
jbehave-core, PicoStepsFactory.java 
jbehave-core, ScalaStepsFactory.java 
jbehave-core, SpringApplicationContextFactory.java 
jbehave-core, SpringStepsFactory.java 
jbehave-core, WeldStepsFactory.java 
jbehave-core, ThreadsStories.java 
jbehave-core, ThreadsSteps.java 
jbehave-core, FailureCorrelationStories.java 
jbehave-core, CalendarConverter.java 
jbehave-core, TraderConverter.java 
jbehave-core, AnnotatedEmbedderUsingGuice.java 
jbehave-core, AnnotatedEmbedderUsingGuiceAndSteps.java 
jbehave-core, InheritingAnnotatedEmbedderUsingSteps.java 
jbehave-core, Stock.java 
jbehave-core, Trader.java 
jbehave-core, TraderPersister.java 
jbehave-core, AnnotatedEmbedderUsingPico.java 
jbehave-core, AnnotatedEmbedderUsingPicoAndSteps.java 
jbehave-core, ParentAnnotatedEmbedderUsingPico.java 
jbehave-core, TradingService.java 
jbehave-core, AnnotatedEmbedderUsingSpring.java 
jbehave-core, AnnotatedEmbedderUsingSpringAndSteps.java 
jbehave-core, AnnotatedEmbedderUsingSpringNamespace.java 
jbehave-core, AbstractSteps.java 
jbehave-core, BeforeAfterSteps.java 
jbehave-core, CalendarSteps.java 
jbehave-core, CompositeNestedSteps.java 
jbehave-core, CompositeSteps.java 
jbehave-core, FailingBeforeAfterSteps.java 
jbehave-core, MetaParametrisationSteps.java 
jbehave-core, NamedParametersSteps.java 
jbehave-core, ParameterDelimitersSteps.java 
jbehave-core, ParametrisationByDelimitedNameSteps.java 
jbehave-core, ParametrisedSteps.java 
jbehave-core, PendingSteps.java 
jbehave-core, PriorityMatchingSteps.java 
jbehave-core, SandpitSteps.java 
jbehave-core, SearchSteps.java 
jbehave-core, TraderSteps.java 
jbehave-core, FailingAfterStories.java 
jbehave-core, FailingBeforeStories.java 
jbehave-core, ParameterDelimiters.java 
jbehave-core, ParametrisationByDelimitedName.java 
jbehave-core, SkipBeforeAndAfterScenarioStepsIfGivenStory.java 
jbehave-core, SkipScenariosAfterFailure.java 
jboss-aejb, SingletonAEjbHandler.java 
jge3d, Observer.java 
jogetworkflow, FormFacade.java 
jogetworkflow, WorkflowFacade.java 
jpatterns, AbstractFactoryPattern.java 
jpatterns, FactoryMethodPattern.java 
ju4pa, ConcurrentModificationObserver.java 
kahlua2, Prototype.java 
kodejava, SingletonDemo.java 
kodejava, Singleton.java 
liferay-portal, LayoutPrototypeBaseImpl.java 
liferay-portal, LayoutPrototypeImpl.java 
liferay-portal, LayoutPrototype.java 
liferay-portal, LayoutPrototypeWrapper.java 
liferay-portal, LayoutSetPrototypeWrapper.java 
liferay-portal, LayoutPrototypeLocalService.java 
liferay-portal, LayoutPrototypeLocalServiceWrapper.java 
liferay-portal, LayoutPrototypePermission.java 
LimeWire-Pirate-Edition, BTDiskManagerMementoImpl.java 
LimeWire-Pirate-Edition, BTDownloadMementoImpl.java 
LimeWire-Pirate-Edition, BTMetaInfoMementoImpl.java 
LimeWire-Pirate-Edition, DownloadMemento.java 
LimeWire-Pirate-Edition, GnutellaDownloadMemento.java 
LimeWire-Pirate-Edition, GnutellaDownloadMementoImpl.java 
LimeWire-Pirate-Edition, InNetworkDownloadMemento.java 
LimeWire-Pirate-Edition, InNetworkDownloadMementoImpl.java 
LimeWire-Pirate-Edition, LibTorrentBTDownloadMementoImpl.java 
LimeWire-Pirate-Edition, MagnetDownloadMementoImpl.java 
LimeWire-Pirate-Edition, TorrentFileSystemMementoImpl.java 
LimeWire-Pirate-Edition, VirusDefinitionDownloadMemento.java 
LimeWire-Pirate-Edition, AbstractLazySingletonProvider.java 
LoL-Chat, IXmppFacade.java 
LoL-Chat, XmppFacade.java 
Lord-of-Ultima-Manager, CityAdapter.java 
Lord-of-Ultima-Manager, SessionAdapter.java 
Lord-of-Ultima-Manager, TradeAdapter.java 
Lord-of-Ultima-Manager, TradeRequestAdapter.java 
Lord-of-Ultima-Manager, TroopAdapter.java 
lyo.rio, ServiceProviderSingleton.java 
m2eclipse-extras, P2Facade.java 
m2eclipse-extras, P2FacadeImpl.java 
magic-config, DoubleTagDecorator.java 
magic-config, SingleTagDecorator.java 
magic-config, TagDecorator.java 
magic-config, TripleTagDecorator.java 
magic-config, DecoratorFactory.java 
magic-config, DecoratorFactoryImpl.java 
maven-3, DefaultJavaToolchainFactory.java 
maven-3, ArtifactFactory.java 
maven-3, DefaultArtifactFactory.java 
maven-3, ArtifactRepositoryFactory.java 
maven-3, LifecycleWeaveBuilder.java 
maven-3, DefaultModelBuilder.java 
maven-3, DefaultProjectBuilder.java 
maven-3, MavenSettingsBuilder.java 
maven-3, DefaultSettingsBuilder.java 
maven-3, DefaultToolchainsBuilder.java 
maven-3, ToolchainFactory.java 
maven-cuke4duke-jump-start, WebDriverFacade.java 
Mavenized-Wave-In-A-Box, ViewFactory.java 
milton, ResourceFactory.java 
milton, ResourceFactoryFactory.java 
milton, SpringResourceFactoryFactory.java 
milton, ImageTableObserver.java 
milton, HrResourceFactory.java 
milton, HrResourceFactoryFactory.java 
mitfahrzentraleClient, ObjectFactory.java 
Mobile-Tour-Guide, BookmarkAdapter.java 
modapi, Prototype.java 
molgenis_apps, BiobankDecorator.java 
molgenis_apps, DBIndexUpdateDecorator.java 
molgenis_apps, MeasurementDecorator.java 
molgenis_apps, FlowcellDecorator.java 
molgenis_apps, LibraryLaneDecorator.java 
molgenis_apps, IdentifiableDecorator.java 
molgenis_apps, TaskDecorator.java 
molgenis_apps, EditableTableDecorator.java 
molgenis_apps, AuthorizableDecorator.java 
molgenis_apps, MolgenisUserDecorator.java 
molgenis_apps, MolgenisFileDecorator.java 
molgenis_apps, NameableDecorator.java 
molgenis_apps, DataDecorator.java 
mongkie, EnrichmentBuilder.java 
mongkie, DecoratorItem.java 
mongkie, TableDecoratorItem.java 
mongkie, SimpleDefaultDecorator.java 
mongkie, DecoratorLayout.java 
mongkie, DecoratorLabelRenderer.java 
movsim, VehiclePrototype.java 
MPS, MappingsMemento.java 
MPS, Memento.java 
MPS, MementoPersistence.java 
nuxeo-tycho-osgi, Memento.java 
nuxeo-tycho-osgi, XMLMemento.java 
ocl, UnresolvedFactory.java 
ocl, UnresolvedFactoryImpl.java 
ocl, CompleteOCLCSTFactory.java 
ocl, CompleteOCLCSTFactoryImpl.java 
ocl, OCLinEcoreCSTFactory.java 
ocl, OCLinEcoreCSTFactoryImpl.java 
ocl, ExpressionsFactory.java 
ocl, ExpressionsFactoryImpl.java 
ocl, AbapmappingFactory.java 
ocl, AbapdictionaryFactory.java 
ocl, AbapdictionaryFactoryImpl.java 
ocl, AbapmappingFactoryImpl.java 
ocl, ConstraintsFactory.java 
ocl, QuantitystructureFactory.java 
ocl, QuantitystructureFactoryImpl.java 
ocl, XsdFactory.java 
ocl, XsdFactoryImpl.java 
onebusaway-application-modules, ResourcePrototypeImpl.java 
OneSwarm, DHTRouterObserver.java 
OneSwarm, ResourcePrototype.java 
OneSwarm, ExternalTextResourcePrototype.java 
OneSwarm, ImageResourcePrototype.java 
openejb, ThreadSingletonService.java 
openejb, ThreadSingletonServiceImpl.java 
openejb, SingletonEjbHomeHandler.java 
openejb, SingletonEjbObjectHandler.java 
openejb, SingletonContainerBuilder.java 
openejb, SingletonContext.java 
openejb, SingletonInstanceManager.java 
openejb, SingletonContainer.java 
openejb, BasicSingletonBean.java 
openejb, SingletonCalculatorClient.java 
OpenSIG, ComercialProxy.java 
OpenSIG, Visitor.java 
OpenSIG, ExportacaoProxy.java 
OpenSIG, ImportacaoProxy.java 
orion.server, ResourceShapeFactory.java 
orion.server, GitFileDecorator.java 
orion.server, GitSshSessionFactory.java 
orion.server, OSGiConsoleFactory.java 
osate2-core, ComponentPrototype.java 
osate2-core, ComponentPrototypeActual.java 
osate2-core, ComponentPrototypeBinding.java 
osate2-core, FeatureGroupPrototype.java 
osate2-core, FeaturePrototype.java 
osate2-core, Prototype.java 
osate2-core, PrototypeBinding.java 
osate2-core, AbstractPrototypeImpl.java 
osate2-core, BusPrototypeImpl.java 
osate2-core, ComponentPrototypeActualImpl.java 
osate2-core, ComponentPrototypeImpl.java 
osate2-core, DataPrototypeImpl.java 
osate2-core, DevicePrototypeImpl.java 
osate2-core, FeatureGroupPrototypeActualImpl.java 
osate2-core, FeatureGroupPrototypeBindingImpl.java 
osate2-core, FeatureGroupPrototypeImpl.java 
osate2-core, FeaturePrototypeActualImpl.java 
osate2-core, FeaturePrototypeImpl.java 
osate2-core, FeaturePrototypeReferenceImpl.java 
osate2-core, MemoryPrototypeImpl.java 
osate2-core, ProcessorPrototypeImpl.java 
osate2-core, ProcessPrototypeImpl.java 
osate2-core, PrototypeBindingImpl.java 
osate2-core, PrototypeImpl.java 
osate2-core, SubprogramGroupPrototypeImpl.java 
osate2-core, SubprogramPrototypeImpl.java 
osate2-core, SystemPrototypeImpl.java 
osate2-core, ThreadGroupPrototypeImpl.java 
osate2-core, ThreadPrototypeImpl.java 
osate2-core, VirtualBusPrototypeImpl.java 
osate2-core, VirtualProcessorPrototypeImpl.java 
pcgen-svn, ModifyChoiceDecorator.java 
pcgen-svn, QualifiedDecorator.java 
pcgen-svn, LevelCommandFactory.java 
pcgen-svn, CDOMFactory.java 
pcgen-svn, ManufacturableFactory.java 
pcgen-svn, SimpleFacadeImpl.java 
pcgen-svn, CampaignInfoFactory.java 
pcgen-svn, InfoFactory.java 
pcgen-svn, KitFacade.java 
pcgen-svn, LanguageChooserFacade.java 
pcgen-svn, LanguageFacade.java 
pcgen-svn, LoadableFacade.java 
pcgen-svn, PartyFacade.java 
pcgen-svn, RaceFacade.java 
pcgen-svn, ReferenceFacade.java 
pcgen-svn, SizeFacade.java 
pcgen-svn, SkillFacade.java 
pcgen-svn, SourceSelectionFacade.java 
pcgen-svn, SpellFacade.java 
pcgen-svn, SpellSupportFacade.java 
pcgen-svn, StatFacade.java 
pcgen-svn, TempBonusFacade.java 
pcgen-svn, TemplateFacade.java 
pcgen-svn, TodoFacade.java 
pcgen-svn, UIDelegate.java 
pcgen-svn, XPTableFacade.java 
pcgen-svn, AbstractListFacade.java 
pcgen-svn, DefaultListFacade.java 
pcgen-svn, DelegatingListFacade.java 
pcgen-svn, ListFacade.java 
pcgen-svn, ListFacades.java 
pcgen-svn, SortedListFacade.java 
pcgen-svn, TermEvaluatorBuilder.java 
pcgen-svn, TermEvaluatorBuilderEQVar.java 
pcgen-svn, TermEvaluatorBuilderPCStat.java 
pcgen-svn, TermEvaluatorBuilderPCVar.java 
pcgen-svn, ShowMessageConsoleObserver.java 
pcgen-svn, EqBuilder.java 
pcgen-svn, PersistenceObserver.java 
pcgen-svn, ShowMessageGuiObserver.java 
pcgen-svn, TreeTableModelAdapter.java 
pcgen-svn, CharacterFacadeImpl.java 
pcgen-svn, CharacterLevelFacadeImpl.java 
pcgen-svn, CharacterLevelsFacadeImpl.java 
pcgen-svn, DescriptionFacadeImpl.java 
pcgen-svn, DomainFacadeImpl.java 
pcgen-svn, EquipmentListFacadeImpl.java 
pcgen-svn, EquipmentSetFacadeImpl.java 
pcgen-svn, GeneralChooserFacadeBase.java 
pcgen-svn, LanguageChooserFacadeImpl.java 
pcgen-svn, PartyFacadeImpl.java 
pcgen-svn, SpellFacadeImplem.java 
pcgen-svn, SpellSupportFacadeImpl.java 
pcgen-svn, TodoFacadeImpl.java 
pcgen-svn, ListDataAdapter.java 
pcgen-svn, PopupMouseAdapter.java 
pcgen-svn, FacadeFactory.java 
pellet, ELTaxonomyBuilder.java 
pellet, GenericTaxonomyBuilder.java 
pellet, EntailmentQueryVisitor.java 
pellet, FunctionApplicationVisitor.java 
pellet, NumberToLiteralVisitor.java 
pellet, NumericComparisonVisitor.java 
pellet, NumericVisitor.java 
pellet, AtomObjectVisitor.java 
pellet, DefaultAtomObjectVisitor.java 
pellet, DefaultRuleAtomVisitor.java 
pellet, RuleAtomVisitor.java 
pellet, OntBuilder.java 
pellet, FSMBuilder.java 
pellet, ATermBaseVisitor.java 
pellet, ATermVisitor.java 
pellet, PelletVisitor.java 
petals-studio, JbiFactory.java 
petals-studio, JbiFactoryImpl.java 
petals-studio, Cdk5Factory.java 
petals-studio, Cdk5FactoryImpl.java 
petals-studio, Filetransfer2xFactory.java 
petals-studio, Filetransfer2xFactoryImpl.java 
petals-studio, Filetransfer3Factory.java 
petals-studio, Filetransfer3FactoryImpl.java 
petals-studio, JmsFactory.java 
petals-studio, JmsFactoryImpl.java 
petals-studio, MailFactory.java 
petals-studio, MailFactoryImpl.java 
pizzaapp, ConfigurationSingleton.java 
platform, AbstractPDPProxy.java 
platform, PDPProxy.java 
platform, AbstractSynapseObserver.java 
platform, SynapseObserver.java 
platform, MessageStoreObserver.java 
platform, Observers.java 
platform, RestAPIObserver.java 
platform, HiveAxis2ConfigObserver.java 
platform, ActivityMediationStatisticsObserver.java 
platform, BAMMediationStatisticsObserver.java 
platform, ServiceStatisticsAxis2ConfigurationContextObserver.java 
platform, MediationStatsAxis2ConfigurationContextObserver.java 
platform, ConfigurationContextObserverImpl.java 
platform, Axis2ConfigurationContextObserverImpl.java 
platform, AbstractProxy.java 
platform, PaypalNVPProxy.java 
platform, PaypalSOAPProxy.java 
platform, SalesforceProxy.java 
platform, SalesforceProxyImpl.java 
platform, CassandraAxis2ConfigurationContextObserver.java 
platform, CSGAgentObserver.java 
platform, CSGAgentObserverImpl.java 
platform, CSGServiceObserver.java 
platform, DSAxis2ConfigurationContextObserver.java 
platform, DeploymentSyncAxis2ConfigurationContextObserver.java 
platform, DiscoveryAxis2ConfigurationContextObserver.java 
platform, TargetServiceObserver.java 
platform, DiscoveryProxyObserver.java 
platform, EventAxis2ConfigurationContextObserver.java 
platform, STSObserver.java 
platform, JAXWSAxis2ConfigurationObserver.java 
platform, MediationStatisticsObserver.java 
platform, JMXObserver.java 
platform, PersistingStatisticsObserver.java 
platform, TaskAxis2ConfigurationContextObserver.java 
platform, ProxyServiceParameterObserver.java 
platform, RSSManagerAxis2ConfigContextObserver.java 
platform, SecurityAxis2ConfigurationContextObserver.java 
platform, StatisticsAxis2ConfigurationContextObserver.java 
platform, ThrottlingAxis2ConfigurationContextObserver.java 
platform, TransactionManagerAxis2ConfigurationContextObserver.java 
platform_frameworks_base, AnimatorListenerAdapter.java 
platform_frameworks_base, SyncStatusObserver.java 
platform_frameworks_base, Singleton.java 
playorm, NoSqlProxy.java 
playorm, NoSqlProxyImpl.java 
playorm, CursorProxy.java 
playorm, ListProxy.java 
playorm, IterProxy.java 
playorm, IterableProxy.java 
playorm, IterLogProxy.java 
playorm, FactorySingleton.java 
pmd, DumpFacade.java 
po-mindstorms, FacadeSector.java 
prevayler, Memento.java 
prevayler, MementoManagerCommand.java 
prevayler, MementoTransaction.java 
Promasi-V2, GameModelMemento.java 
Promasi-V2, CompanyMemento.java 
Promasi-V2, DepartmentMemento.java 
Promasi-V2, EmployeeMemento.java 
Promasi-V2, EmployeeTaskMemento.java 
Promasi-V2, MarketPlaceMemento.java 
Promasi-V2, ProjectMemento.java 
Promasi-V2, ProjectTaskMemento.java 
Promasi-V2, TaskBridgeMemento.java 
Promasi-V2, SdSystemMemento.java 
Promasi-V2, FlowSdObjectMemento.java 
Promasi-V2, OutputSdObjectMemento.java 
Promasi-V2, StockSdObjectMemento.java 
Promasi-V2, CalculatedEquationMemento.java 
protogrid, GridPrototype.java 
protogrid, BaseDataPrototype.java 
protoj, Prototype.java 
Pydev, DialogMemento.java 
rap, MementoStateManager.java 
rap, IMemento.java 
rap, XMLMemento.java 
rap, ConfigurationElementMemento.java 
robo-remote, EmSingleton.java 
robo-remote, SoloSingleton.java 
rt.equinox.p2, Memento.java 
s4, PrototypeRequest.java 
s4, PrototypeWrapper.java 
sablecc, MMacroCreatorPrototype.java 
sablecc, MParamPrototype.java 
sablecc, MParamRefPrototype.java 
sample-projects, Visitor.java 
SamyGo-Android-Remote, BSeriesKeyCodeSenderFactory.java 
SamyGo-Android-Remote, CSeriesKeyCodeSenderFactory.java 
SamyGo-Android-Remote, SenderFactory.java 
santuario-java, SignatureAlgorithmFactory.java 
santuario-java, SecurityTokenFactory.java 
santuario-java, ElementProxy.java 
santuario-java, EncryptionElementProxy.java 
santuario-java, SignatureElementProxy.java 
see, BigDecimalFactory.java 
see, DoubleFactory.java 
see, IntegerFactory.java 
see, LocalizedBigDecimalFactory.java 
see, NumberFactory.java 
sherlog, SimpleLogEventFilterMemento.java 
sitemesh2, AbstractDecoratorMapper.java 
small-team-km-android-client, ActivitiesStackSingleton.java 
small-team-km-android-client, ImageCacheSoftRefSingleton.java 
SmartBIPrototype, SmartBIPrototype.java 
smsc-server, MessageObserver.java 
smsc-server, StatisticsObserver.java 
smsc-server, MessageManagerFactory.java 
smsc-server, DbUserManagerFactory.java 
smsc-server, PropertiesUserManagerFactory.java 
smsc-server, UserManagerFactory.java 
soapui, EmptyPanelBuilder.java 
soapui, RestServiceFactory.java 
soapui, RestMethodPanelBuilder.java 
soapui, RestRequestPanelBuilder.java 
soapui, EditorViewFactory.java 
soapui, InspectorFactory.java 
soapui, ResponseEditorViewFactory.java 
soapui, ResponseInspectorFactory.java 
social_1, PlacePrototype.java 
softwaremill-common, TransactionExceptionObserver.java 
spring-batch, ItemReaderAdapter.java 
spring-batch, ItemWriterAdapter.java 
spring-migration-analyzer, ApiUsageDetectingAsmVisitor.java 
spring-migration-analyzer, DelegatingAnnotationVisitor.java 
spring-migration-analyzer, DelegatingClassVisitor.java 
spring-migration-analyzer, DelegatingFieldVisitor.java 
spring-migration-analyzer, DelegatingMethodVisitor.java 
spring-migration-analyzer, StubResultGatheringAnnotationVisitor.java 
spring-migration-analyzer, StubResultGatheringClassVisitor.java 
spring-migration-analyzer, StubResultGatheringClassVisitorFactory.java 
spring-migration-analyzer, StubResultGatheringFieldVisitor.java 
spring-migration-analyzer, StubResultGatheringMethodVisitor.java 
spring-migration-analyzer, EjbDetectingClassVisitor.java 
spring-social-twitter, PlacePrototype.java 
spring-stringtemplate, StringTemplateDecoratorServlet.java 
sshj, SingletonRandomFactory.java 
sslr, AstAndTokenVisitor.java 
sslr, ExecutionFlowVisitor.java 
sslr, EmptyAlternativeVisitor.java 
sslr, EmptyRepetitionVisitor.java 
sslr, EmptyVisitor.java 
sslr, FirstVisitor.java 
sslr, MatcherVisitor.java 
sslr, RuleMatchersVisitor.java 
sslr, SymbolTableBuilderVisitor.java 
stratosphere, ExecutionObserver.java 
studio2, IMemento.java 
studio2, XMLMemento.java 
studio3, XMLMemento.java 
suite, Prototype.java 
SWE12-Drone, PrototypeBrickAdapter.java 
swing-mvc-demo, GroupModelObserver.java 
swing-mvc-demo, MainModelObserver.java 
swing-mvc-demo, UserModelObserver.java 
swp1-teamhub, AbstractFacade.java 
swp1-teamhub, AufgabeFacade.java 
swp1-teamhub, BenutzerFacade.java 
swp1-teamhub, KommentarFacade.java 
swp1-teamhub, ProjektFacade.java 
swp1-teamhub, TeamleiterFacade.java 
tapestry-bootstrap, BootStrapValidationDecorator.java 
tapestry-bootstrap, EnvironmentBindingFactory.java 
tapestry-bootstrap, SessionBindingFactory.java 
TapIt-Android-SDK-Source, AlertAdProxy.java 
teiid-designer, MappingLabelDecorator.java 
teiid-designer, VdbModelBuilder.java 
teiid-designer, CoreMatcherFactory.java 
teiid-designer, SearchRuntimeAdapter.java 
teiid-designer, CustomDiagramActionAdapter.java 
thredds, Nc4prototypes.java 
tomcat70, EjbFactory.java 
tomcat70, ResourceFactory.java 
TurtlePlayer, PreferencesObserver.java 
TwelveMonkeys, Visitor.java 
udig-platform, UdigMemento.java 
UK-Ejemplos, Observer.java 
UK-Ejemplos, EventObserver.java 
UK-Ejemplos, ObserverBuilder.java 
vogella, MyEnumSingleton.java 
vogella, MyObserver.java 
vogella, ElementObserver.java 
vogella, TotalObserver.java 
wayback, ArchivalUrlResultURIConverterFactory.java 
wayback, ARCRecordingProxy.java 
wayback, ARCUnwrappingProxy.java 
wayback, MementoReplayRendererDecorator.java 
wayback, ReplayRendererDecorator.java 
wayback, ReplayRendererDecoratorFactory.java 
wayback, ReplayParseEventDelegatorVisitor.java 
wayback, QueryCaptureFilterGroupFactory.java 
wayback, ParseEventDelegatorVisitor.java 
WhartonEventScheduler, EventListCursorAdapter.java 
WhartonEventScheduler, PeopleCursorAdapter.java 
wolips, EOPrototypeListContentProvider.java 
wolips, EOPrototypeListLabelProvider.java 
wonder, ERPrototypes.java 
XobotOS, Singleton.java 
zen-project, SingletonSolrAware.java 
zk, DefaultIDOMFactory.java 
zk, IDOMFactory.java 
zk, AbstractUiFactory.java 
zk, UiFactory.java 
